Concelho ADENE,INE,Pordata,
ABRANTES,Abrantes,Abrantes,
AGUEDA,Águeda,Águeda,
AGUIAR DA BEIRA,Aguiar da Beira,Aguiar da Beira,
ALANDROAL,Alandroal,Alandroal,
ALBERGARIA-A-VELHA,Albergaria-a-Velha,Albergaria-a-Velha,
ALBUFEIRA,Albufeira,Albufeira,
ALCACER DO SAL,Alcácer do Sal,Alcácer do Sal,
ALCANENA,Alcanena,Alcanena,
ALCOBAÇA,Alcobaça,Alcobaça,
ALCOCHETE,Alcochete,Alcochete,
ALCOUTIM,Alcoutim,Alcoutim,
ALENQUER,Alenquer,Alenquer,
ALFANDEGA DA FE,Alfândega da Fé,Alfândega da Fé,
ALIJO,Alijó,Alijó,
ALJEZUR,Aljezur,Aljezur,
ALJUSTREL,Aljustrel,Aljustrel,
ALMADA,Almada,Almada,
ALMEIDA,Almeida,Almeida,
ALMEIRIM,Almeirim,Almeirim,
ALMODOVAR,Almodôvar,Almodôvar,
ALPIARÇA,Alpiarça,Alpiarça,
ALTER DO CHÃO,Alter do Chão,Alter do Chão,
ALVAIAZERE,Alvaiázere,Alvaiázere,
ALVITO,Alvito,Alvito,
AMADORA,Amadora,Amadora,
AMARANTE,Amarante,Amarante,
AMARES,Amares,Amares,
ANADIA,Anadia,Anadia,
ANSIÃO,Ansião,Ansião,
ARCOS DE VALDEVEZ,Arcos de Valdevez,Arcos de Valdevez,
ARGANIL,Arganil,Arganil,
ARMAMAR,Armamar,Armamar,
AROUCA,Arouca,Arouca,
ARRAIOLOS,Arraiolos,Arraiolos,
ARRONCHES,Arronches,Arronches,
ARRUDA DOS VINHOS,Arruda dos Vinhos,Arruda dos Vinhos,
AVEIRO,Aveiro,Aveiro,
AVIS,Avis,Avis,
AZAMBUJA,Azambuja,Azambuja,
BAIÃO,Baião,Baião,
BARCELOS,Barcelos,Barcelos,
BARRANCOS,Barrancos,Barrancos,
BARREIRO,Barreiro,Barreiro,
BATALHA,Batalha,Batalha,
BEJA,Beja,Beja,
BELMONTE,Belmonte,Belmonte,
BENAVENTE,Benavente,Benavente,
BOMBARRAL,Bombarral,Bombarral,
BORBA,Borba,Borba,
BOTICAS,Boticas,Boticas,
BRAGA,Braga,Braga,
BRAGANÇA,Bragança,Bragança,
CABECEIRAS DE BASTO,Cabeceiras de Basto,Cabeceiras de Basto,
CADAVAL,Cadaval,Cadaval,
CALDAS DA RAINHA,Caldas da Rainha,Caldas da Rainha,
CALHETA (MADEIRA),Calheta (R.A.M.),Calheta [R.A.M.],
CAMARA DE LOBOS,Câmara de Lobos,Câmara de Lobos,
