Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Abrantes;0;0;177,973;3083,89554;202,233;76,2405;0;0;14212,5044;97,800102;0;0;1,281;0;0;0;18,512;0;17870,43955
Águeda;0;0;310,927;4141,47404;238,1295;209,08425;0;0;15096,33121;242,555067;0;0;0;0;0;0;2,655;0;20241,15606
Aguiar da Beira;0;0;26,492;469,398424;99,37575;14,64675;0;0;3343,177206;10,30347;0;0;0;0;0;0;0;0;3963,3936
Alandroal;0;0;0;97,190632;13,134;0;0;0;425,717451;0;0;0;0;0;0;0;0;0;536,042083
Albergaria-a-Velha;0;0;135,508;3867,793556;234,3555;288,75825;0;0;21640,16042;1156,601754;411,141933;0;0;0;0;0;3,928;0;27738,24741
Albufeira;0;0;201,786;9542,083408;399,807;359,445;0;0;25086,27858;631,243638;0;0;0;0;0;0;8,346;0;36228,98963
Alcácer do Sal;0;0;21,928;3161,580576;351,47775;0;0;0;15889,07818;0;0;0;0;0;0;0;2,81;0;19426,87451
Alcanena;0;0;28,379;24790,00132;2866,194;0;0;0;64995,83805;0;0;0;0,57;0;0;0;0;0;92680,98237
Alcobaça;0;0;58,061;6117,320528;809,6865;135,693;0;0;23856,821;343,221057;0;0;499,841;0;0;0;0,362;0;31821,00609
Alcochete;0;0;299,642;4430,570804;280,1055;39,39375;0;0;23638,90303;153,474831;0;0;0;0;0;0;0,555;0;28842,64491
Alcoutim;0;0;0;97,766592;13,134;0;0;0;454,289283;0;0;0;0;0;0;0;0;0;565,189875
Alenquer;0;0;17,523;4661,451476;226,5225;64,75575;0;0;40161,30395;0;0;0;0;0;0;0;21,836;0;45153,39268
Alfândega da Fé;0;0;0;51,294848;72,699;0;0;0;386,99532;0;0;0;0;0;0;0;0;0;510,989168
Alijó;0;0;0;557,334052;204,18825;0;0;0;2435,961276;0;25,103304;0;0;0;0;0;0;0;3222,586882
Aljezur;0;0;0;926,172852;65,4405;111,129;0;0;2713,184883;62,979228;0;0;0;0;0;0;0;0;3878,906463
Aljustrel;0;0;31,29;1852,68006;231,894;0;0;0;11006,40353;0;0;0;0;0;0;0;0,198;0;13122,46559
Almada;0;4,495;193,229;26514,00444;1225,57425;395,604;0;0;55710,53753;507,120723;0;0;0;0;0;0;58,078;0;84608,64295
Almeida;0;0;0;193,268988;16,32825;1,701;0;0;4058,838153;15,000714;0;0;0;0;0;0;0;0;4285,137105
Almeirim;0;0;79,66;3789,115176;534,621;47,12325;0;0;25842,42941;87,157647;0;0;0;0;0;0;0;0;30380,10648
Almodôvar;0;0;52,477;1713,438364;296,1315;0;0;0;7463,523141;0;0;0;0;0;0;0;0;0;9525,570005
Alpiarça;0;0;0;643,14162;68,62725;12,621;0;0;2349,75195;15,795027;0;0;0;0;0;0;0;0;3089,936847
Alter do Chão;0;0;0;210,035408;21,67875;0;0;0;953,214939;0;0;0;0;0;0;0;0;0;1184,929097
Alvaiázere;0;0,646;2,255;629,298384;314,4825;0;0;0;6252,914799;17,027928;0;0;0;0;0;0;0;0;7216,624611
Alvito;0;0;0;94,563656;8,991;0;0;0;464,102271;0;47,561688;0;0;0;0;0;0;0;615,218615
Amadora;0;0;221,525;20739,55814;832,01925;402,10275;0;0;37372,76898;736,359957;0;0;0;0;0;0;0,544;0;60304,87808
Amarante;0;0;57,438;4399,574432;1336,70925;0;0;0;23381,62932;0;0;0;0;0;0;0;2,741;0;29178,092
Amares;0;0;0;1400,5926;235,2885;13,38975;0;0;3592,13616;8,188371;0;0;0;0;0;0;4,497;0;5254,092381
Anadia;0;0;0;2130,21798;254,475;130,15425;0;0;7126,654914;38,788254;0;0,837;0;0;0;0;0;0;9681,127398
Angra do Heroismo;0,767;0;0;5097,7322;526,33125;0;0;0;18429,85864;0;0;0;0;0;0;0;0;0;24054,68909
Ansião;0;0;0;661,6995;625,35075;55,8645;0;0;3734,196822;31,398381;0;0;0;0;0;0;0;0;5108,509953
Arcos de Valdevez;0;0;0;1419,317284;155,96625;152,71725;0;0;4759,679178;74,684673;0;0;82,72;0;0;0;3,296;0;6648,380635
Arganil;0;0;0;1111,674608;237,339;69,07875;0;0;3088,045377;33,211323;0;0;0;0;0;0;0,885;0;4540,234058
Armamar;0;0;15,083;378,111756;35,061;27,65925;0;0;2931,738138;18,111843;0;0;0;0;0;0;0;0;3405,764987
Arouca;0;0;0;1599,701224;185,82975;10,57275;0;0;5391,794133;0;0;0;0;0;84,614264;0;0;0;7272,512121
Arraiolos;0;0;0;567,464216;68,18325;30,71325;0;0;1900,711494;47,703141;0;0;0;0;0;0;0;0;2614,775351
Arronches;0;0;0;138,95222;0,756;0;0;0;547,794738;0;0;0;0;0;0;0;0;0;687,502958
Arruda dos Vinhos;0;0;0;1016,61802;50,21475;41,8725;0;0;7358,785983;46,825965;0;0;0;0;0;0;2,037;0;8516,354218
Aveiro;0;0;676,725;11920,0532;742,569;319,638;0;0;43530,58719;426,033837;0;0;21,12;4,20084;0;0;0;0;57640,92707
Avis;0;0;0;129,306012;27,2955;0;0;0;1212,795423;4,040199;0;0;0;0;0;0;0;0;1373,437134
Azambuja;0;0;209,096;49246,20241;8807,2485;53,07075;0;0;186040,8806;156,729087;0;0;0;0;0;0;8,268;0;244521,4953
Baião;0;0;0;273,686468;202,86375;0;0;0;1888,21341;0;0;0;0;0;0;0;9,764;0;2374,527628
Barcelos;0;0;311,501;12340,09185;1218,26625;148,5945;0;0;44484,27671;246,261303;0;0;0;0;0;0;13,263;0;58762,25461
Barrancos;0;0;0;41,344952;1,30125;0;0;0;206,489574;0;0;0;0;0;0;0;0;0;249,135776
Barreiro;0;3,936;5,86;7962,059072;364,33125;181,098;0;0;19364,59597;270,998001;1133,748306;0;0;0;0;0;17,415;0;29304,0416
Batalha;0;0;121,835;1187,8988;269,523;61,78125;0;0;6167,013489;162,35289;0;0;0;0;0;0;0;0;7970,404429
Beja;0;0;99,504;3429,013764;235,9965;20,63625;0;0;15150,57383;14,730363;2825,983188;145,557648;0;0;0;0;13,121;0;21935,11654
Belmonte;0;0;0;594,449064;118,044;8,0595;0;0;2253,323691;0;0;0;0;0;0;0;0;0;2973,876255
Benavente;0;0;76,847;2816,830368;175,87725;37,8045;0;0;12446,86881;48,084813;0;0;0;0;0;0;9,81;0;15612,12274
Bombarral;0;0;0;1087,551608;201,37275;49,635;0;0;4923,713601;55,544994;26,854308;0;0;0;0;0;2,395;0;6347,067261
Borba;0;0;0;433,217664;107,98575;0;0;0;1708,211538;0;273,702348;0;0;0;0;0;0;0;2523,1173
