Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Abrantes;0;0;184,179;2605,381988;127,100908;34,2135;247,728;0;0;12084,08036;890,203905;0;0;0;0;0;0;13,893;0;16186,78067
Águeda;0;0;226,909;3367,51844;0;211,05225;275,8545;0;0;14059,1727;462,748005;0;0;0;0;111,036224;0;5,146;0;18719,43712
Aguiar da Beira;0;0;22,89;385,393536;0;86,673;14,14425;0;0;2538,97254;85,579902;0;0;0;0;0;0;0;0;3133,653228
Alandroal;0;0;0;46,83228;0;7,5705;0;0;0;211,534173;0;0;0;0;0;0;0;0;0;265,936953
Albergaria-a-Velha;0;0;144,482;3412,074556;26,22114;177,87;349,2495;0;0;20370,2431;1274,271399;409,50225;0;0;0;0;0;0;0;26163,91394
Albufeira;0;0;207,206;8775,43876;65,052812;86,79225;490,218;0;0;21298,07266;1547,075646;0;0;0;0;0;0;9,935;0;32479,79113
Alcácer do Sal;0;0;4,268;2525,186664;282,8375;102,5505;219,70725;0;0;13382,61723;1405,442691;0;0;3;0;0;0;0,898;0;17926,50784
Alcanena;0;5,11;45,276;48650,65005;86,61466;5751,32625;29,84175;0;0;139401,0434;122,441382;0;0;0,931;0;0;0;0;0;194093,2345
Alcobaça;0;0;67,705;5071,921712;245,628988;701,57925;213,62925;0;0;21836,3549;1257,777477;0;0;157,52;0;0;0;0,362;0;29552,47857
Alcochete;0;0;323,775;3589,141864;379,319028;29,67075;242,07225;0;0;20772,66182;1865,406834;0;0;1;0;0;0;0,415;0;27203,46254
Alcoutim;0;0;0;94,245008;0;14,2335;0;0;0;459,908064;0;0;0;0;0;0;0;0;0;568,386572
Alenquer;63,385;34,375;1,155;3696,869572;42,686116;92,3415;187,77825;0;0;34058,5344;518,809428;95,092407;25,890084;96,624;0;0;0;19,234;0;38932,77476
Alfândega da Fé;0;0;0;310,571096;0;126,4785;0;0;0;926,606709;4,577553;0;0;0;0;0;0;0;0;1368,233858
Alijó;0;0;0;506,174592;35,607792;157,64775;30,9075;0;0;2254,210911;90,76428;8,368326;0;2,655;0;0;0;0;0;3086,336151
Aljezur;0;0;0;1057,071356;-0,08228;34,416;151,55475;0;0;2859,315039;149,415381;0;0;0;0;0;0;0;0;4251,690246
Aljustrel;0;0;47,342;1475,26918;143,693792;21,2955;172,7715;0;0;7806,945078;1150,192845;0;0;0;0;0;0;0;0;10817,5099
Almada;0;4,542;198,976;25320,38718;488,547972;747,30825;901,61475;0;0;52682,77457;2780,087967;0;0;236,682;0;0;0;42,596;0;83403,51669
Almeida;0;0;0;205,264664;0;24,309;25,935;0;0;3632,887179;192,992949;0;0;0;0;0;0;0;0;4081,388792
Almeirim;0;0;78,676;3406,947016;0;339,9765;102,97425;0;0;24713,99521;269,000082;0;0;0;0;0;0;0;0;28911,56906
Almodôvar;0;0;52,143;1590,372168;108,195208;42,3615;151,122;0;0;7281,964449;637,834176;0;0;0;0;0;0;0,036;0;9864,028501
Alpiarça;0;0;0;560,430024;0;14,91825;72,04575;0;0;2005,486317;94,190958;0;0;9,926;0;0;0;0;0;2756,997299
Alter do Chão;0;0;0;98,73974;0;1,49925;5,409;0;0;426,81978;12,899007;0;0;0;0;0;0;0;0;545,366777
Alvaiázere;0;0;0;745,542072;0;260,77875;44,8605;0;0;5347,238112;138,57372;0;0;0;0;0;0;0;0;6536,993154
