Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Lubrificantes;Total
Abrantes;0;0;182,308;2294,63586;107,444964;39,3075;193,038;10249,09932;813,399111;0;0;0;0;0;12,991;13892,22375
Águeda;0;0;190,514;4246,784212;0;263,0115;263,199;15956,75298;630,285273;0;0;0;1131,02976;73,686788;5,51;22760,77351
Aguiar da Beira;0;0;19,861;400,189724;0;95,45925;0,3375;2665,790595;74,102958;0;0;0;0;0;0;3255,741027
Alandroal;0;0;0;0;0;0;0;22,585608;0;0;0;0;0;0;0;22,585608
Albergaria-a-Velha;0;0;127,658;3360,68546;22,916476;216,2925;291,14475;19248,7786;1210,722174;435,570615;0;0;0;0;0;24913,76858
Albufeira;0;0,934;193,094;8748,475604;54,875524;111,99525;457,95075;20262,92128;1718,944389;0;0;0;0;0;11,564;31560,7548
Alcácer do Sal;0;0;0;2181,48216;233,987116;89,919;177,744;11699,16248;1184,282181;0;0;0;0;0;1,75;15568,32694
Alcanena;0;12,13;56,54;49148,37822;71,615016;5554,92375;29,79975;139180,4245;132,207498;0;0;1,905;0;0;0;194187,9237
Alcobaça;0;0;46,597;4270,20484;201,553836;587,535;188,502;22543,20725;1407,043035;0;0;1,413;0;0;0,362;29246,41797
Alcochete;0;0;249,883;3298,305252;297,324764;17,2305;212,07975;19748,47011;1646,30367;0;0;0;0;0;0,37;25469,96705
Alcoutim;0;0;0;146,324508;0;10,4955;0;617,070717;0;0;0;0;0;0;0;773,890725
Alenquer;0;0;0,495;3122,94862;38,547432;97,263;162,95325;32349,75789;585,314937;126,77202;51,5095;123,4;54,60084;0;20,111;36733,67349
Alfândega da Fé;0;0;0;1308,15102;0;398,5995;0;5326,526547;0;0;0;0;0;0;0;7033,277067
Alijó;0;0;0;467,355636;34,637636;142,158;31,326;2129,898834;84,249909;0;0;1,77;0;0;0;2891,396015
Aljezur;0;0;0;1012,721688;-0,185504;31,7505;138,18225;2833,971516;149,276439;0;0;0;0;0;0;4165,716889
Aljustrel;0;0;38,801;1368,362028;113,892724;18,76125;151,51275;7276,845357;858,66993;0;0;0;0;0;0;9826,845039
Almada;0;3,148;183,892;23053,62554;331,645248;788,40075;847,72725;53770,20665;3099,241089;0;0;7,36;0;0;41,655;82126,90152
Almeida;0;0;0;216,660444;0;15,63225;15,087;4455,826416;262,054656;0;0;0;0;0;0;4965,260766
Almeirim;0;0;35,767;2771,327284;0;205,14525;89,26875;20121,2063;266,776173;0;0;0;230,958;10,109894;0;23730,55865
Almodôvar;0;0;22,993;1482,271208;95,30642;52,77225;138,34575;6112,578357;566,224641;0;0;0;0;0;0;8470,491626
Alpiarça;0;0;0;509,342372;0;10,44975;60,8325;1988,9631;120,671964;0;0;10,264;0;0;0;2700,523686
Alter do Chão;0;0;0;53,42216;0;0;1,42725;245,765799;11,065977;0;0;0;0;0;0;311,681186
Alvaiázere;0;0,72;0,288;658,059732;0;221,2545;38,64;5073,686424;123,389703;0;0;0;0;0;0;6116,038359
Alvito;0;0;0;76,052152;0;4,635;0;358,190802;4,86297;51,991092;0;0;0;0;0;495,732016
