Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;161,663;1904,794624;159,994828;0;9557,64824;0;0;7,943;0;11792,04369
Águeda;0;0;154,474;3872,02348;445,461692;0;16423,26924;0;0;6,587;0;20901,81541
Aguiar da Beira;0;0;19,246;369,433374;77,300834;0;2330,50524;0;0;0;0;2796,485448
Alandroal;0;0;0;11,952412;1,508;0;75,81168;0;0;0;0;89,272092
Albergaria-a-Velha;0;0;99,038;2762,793096;368,405908;0;18288,24732;433,54416;0;0;0;21952,02848
Albufeira;0;0;222,029;6912,063746;379,251444;0;18939,8286;0;0;0,623;0;26453,79579
Alcácer do Sal;0;0;0;1921,525912;190,003476;0;10688,8324;0;0;0;0;12800,36179
Alcanena;0;22,41;68,955;51698,27222;4891,029858;0;153872,8446;0;0;0;4,411;210557,9227
Alcobaça;0;0;135,371;3654,871086;595,99176;0;21717,00972;0;0;0,543;0;26103,78657
Alcochete;0;0;276,298;2730,530088;149,373046;0;17034,70008;0;0;0;0;20190,90121
Alcoutim;0;0;0;122,934832;8,677032;0;595,37856;0;0;0;0;726,990424
Alenquer;0;0;13,802;2816,70577;198,174188;0;24855,45268;131,58348;39,99554;16,8;7,92;28080,43366
Alfândega da Fé;0;0;0;3711,600656;797,733508;0;16186,32372;0;0;0;0;20695,65788
Alijó;0;0;0;452,128966;113,5147;0;2253,04968;0;0;0;0;2818,693346
Aljezur;0;0;0;906,268402;129,875746;0;2594,8192;0;0;0;0;3630,963348
Aljustrel;0;0;28,541;1255,91711;106,737748;0;6764,49216;0;0;0;0;8155,688018
Almada;0;3,911;195,304;17496,46766;1007,177366;0;47655,22536;0;0;37,44;0,513;66396,03839
Almeida;0;0;0;168,634046;24,140064;0;3001,99116;4,19916;0;0;0;3198,96443
Almeirim;0;0;166,148;3282,26572;299,925164;0;21760,02696;0;0;0;0;25508,36584
Almodôvar;0;0;31,626;1200,323698;135,385978;0;4655,00784;0;0;0;0;6022,343516
Alpiarça;0;0;0;448,783902;49,13441;0;1781,6652;0;0;0;0;2279,583512
Alter do Chão;0;0;0;29,72437;0;0;117,92676;0;0;0;0;147,65113
Alvaiázere;0;0;0;577,611388;237,666832;0;5608,44228;0;0;2,795;0;6426,5155
Alvito;0;0;0;72,307542;0;0;662,49036;5,01564;0;0;0;739,813542
Amadora;0;0;352,76;17128,15105;648,739706;0;33181,82784;0;0;0;0;51311,47859
Amarante;0;0;51,681;3622,87813;932,471598;0;14769,52868;0;0;1,455;0;19378,01441
Amares;0;0;0;626,75936;125,07352;0;2438,29908;0;0;5,974;0;3196,10596
Anadia;0;0;0;1625,4967;264,280016;0;5753,01248;0;0,345605;0;0;7643,134801
Angra do Heroismo;0;0;0;6028,42227;428,370774;0;18844,64064;0;0;0;0;25301,43368
Ansião;0;0;0;295,94193;157,043874;0;2513,79576;0;0;0;0,044;2966,825564
Arcos de Valdevez;0;0;37,05;1636,844106;265,83778;0;5411,09856;0;0;0;357,91;7708,740446
Arganil;0;0;0;703,982296;123,613022;0;2109,06108;0;0;0,885;0;2937,541398
Armamar;0;0;13,89;329,711112;39,635518;0;3198,342;0;0;0;0;3581,57863
Arouca;0;0;0;1455,75932;196,516528;0;6095,31584;0;0;0;0;7747,591688
Arraiolos;0;0;0;466,523782;44,986656;0;1613,18976;0;0;0;3,52;2128,220198
Arronches;0;0;0;126,91325;0;0;512,94936;0;0;0;0;639,86261
Arruda dos Vinhos;0;0;0;827,193894;56,548492;0;5221,05384;0;0;0,36;0;6105,156226
Aveiro;0;0;459,823;16960,86428;1494,357308;0;76271,87408;0;0;0,443;86,6;95273,96167
Avis;0;0;0;446,691372;58,462144;0;1620,46584;0;0;0;0;2125,619356
Azambuja;2069,294;1201,907;251,808;13806,87027;1607,340236;0;129848,6573;0;0;11,24;0;148797,1168
Baião;0;0;0;384,874082;168,372724;0;2352,15716;0;0;6,488;1,4;2913,291966
Barcelos;0;0;272,616;10802,73275;1043,032328;0;44112,30264;0;0;0;32,707;56263,39072
Barrancos;0;0;0;37,924402;0;0;159,1716;0;0;0;0;197,096002
Barreiro;0;4,911;241,98;11776,96772;740,497368;0;39245,01084;23,94168;0;20,889;0;52054,19761
Batalha;0;0;96,28;988,39778;224,754582;0;5550,62676;0;0;1,82;0;6861,879122
Beja;0;0;114,912;2438,761282;170,180816;0;12209,73348;262,08336;0;0;0;15195,67094
Belmonte;0;0;0;409,87851;55,957356;0;1936,79304;0;0;0;0;2402,628906
Benavente;0;0;104,286;2373,715304;141,016096;0;11816,06076;0;0;3,169;0;14438,24716
Bombarral;0;0;0;1035,095142;155,151334;0;4597,71816;0;0;0;0;5787,964636
Borba;0;0;0;516,637078;101,14156;0;2152,017;0;0;0;0;2769,795638
Boticas;0;0;15,055;204,43011;78,006578;0;1000,22612;0;0;0;0;1297,717808
Braga;0;0;442,488;21120,40735;1860,701596;0;82211,87748;0;0;32,797;576,275;106244,5464
Bragança;0;0;21,679;2844,329404;430,224106;0;20472,92376;0;0;26,66;0;23795,81627
Cabeceiras de Basto;0;0;29,749;463,312998;322,32746;0;2819,19372;0;0;0;0;3634,583178
Cadaval;0;0;0;604,280142;110,69097;0;2605,42128;0;0;4,068;0;3324,460392
Caldas da Rainha;0;0;391,433;7984,555868;727,764736;9,915776;40715,12424;901,21332;0;111,678;1,76;50843,44494
Calheta (Açores);0;0;0;187,527242;8,050458;0;861,73584;0;0;0;0;1057,31354
Calheta (Madeira);0;0;0;371,695992;131,551134;0;1336,42152;0;0;3,67;0;1843,338646
Câmara de Lobos;0;0;0;1939,987174;657,478198;0;5109,54444;0;0;0;0;7707,009812
Caminha;0;0;0;810,346976;60,895302;0;3574,18488;0;0;0;0,429;4445,856158
Campo Maior;0;0;0;310,920118;14,618552;0;1498,40284;0;0;0;0;1823,94151
Cantanhede;0;0;166,066;3305,397688;606,485428;0;17281,68036;0;0;0;0;21359,62948
Carrazeda de Ansiães;0;0;0;233,142904;135,74639;0;927,76688;0;0;0;0;1296,656174
Carregal do Sal;0;0;45,577;1096,244016;229,26878;0;3846,97236;0;0;0;0;5218,062156
Cartaxo;0;0;0;1237,152972;54,081404;0;3428,60448;0;0;0;0;4719,838856
Cascais;0;0;161,465;22840,32825;1458,055592;0;50551,99412;0;0;38,542;0,905;75051,28996
Castanheira de Pêra;0;0;0;135,741414;30,701372;0;757,05588;0;0;0;0;923,498666
Castelo Branco;0;0;63,316;3745,248986;312,86476;0;19807,10952;268,22376;0;5,391;0;24202,15403
