Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;135,601;2713,039372;190,800454;11456,90112;0;0;22,67;0;14519,01195
Águeda;0;0;94,752;3368,24595;373,816612;17383,83528;0;0;889,611;0;22110,26084
Aguiar da Beira;0;0;14,702;307,524326;81,462914;2463,22104;0;0;14,503;0;2881,41328
Alandroal;0;0;0;80,288996;0;230,7144;0;0;0;0;311,003396
Albergaria-a-Velha;0;0;130,115;2153,07163;248,151202;15571,14384;221,5164;0;48,172;0;18372,17007
Albufeira;0;0,936;139,105;6053,866092;298,07882;18781,75236;0;0;51,356;0;25325,09427
Alcácer do Sal;0;0;5,226;1518,418098;126,734582;9354,78012;0;0;498,009;0;11503,1678
Alcanena;0;18,078;125,45;51214,76202;3657,983498;151591,5584;0;0;168,95;0;206776,782
Alcobaça;0;0;480,683;3678,711008;481,380744;22519,434;0;0;246,589;0,88;27407,67775
Alcochete;0;0;142,082;1823,31352;89,59028;12488,07084;0;0;45,028;0;14588,08464
Alcoutim;0;0;0;104,338544;0;647,6022;0;0;3,184;0;755,124744
Alenquer;11,83;8,173;7,124;2457,82755;156,291382;24351,04812;0;30,32705;808,94;44,88;27876,4411
Alfândega da Fé;0;0;0;3244,456948;696,65076;17300,01924;0;0;0;0;21241,12695
Alijó;0;0;0;455,549376;117,801944;2651,6826;0;0;2,383;0;3227,41692
Aljezur;0;0;0;1130,469004;98,6609;3143,30856;0;0;1,529;0;4373,967464
Aljustrel;0;0;25,846;971,529228;74,564568;6133,02144;0;0;171,634;0;7376,595236
Almada;0;3,458;125,117;18719,79054;721,387238;49086,62388;0;0;170,235;0;68826,61166
Almeida;0;0;0;198,244278;23,018112;4849,7148;0;0;0,742;0;5071,71919
Almeirim;0;0;203,871;3426,481694;266,891872;15449,73696;0;0;10,235;0;19357,21653
Almodôvar;0;0;25,225;992,406038;155,976964;6047,40444;0;0;237,344;0;7458,356442
Alpiarça;0;0;0;423,456456;39,870766;1562,70744;0;0;1,484;0;2027,518662
Alter do Chão;0;0;0,11;152,689042;17,611932;484,82532;0;0;0,255;0;655,491294
Alvaiázere;0;0;37,926;629,53821;199,555148;5328,19224;0;0;38,889;0;6234,100598
Alvito;0;0;0;34,269002;0;60,36576;0;0;0;0;94,634762
Amadora;0;0;410,072;18807,22621;714,930736;38267,20296;0;0;58,404;0;58257,83591
Amarante;0;0;68,881;3079,631232;724,701068;12446,17416;0;0;79,994;0;16399,38146
Amares;0;0;0;652,036824;81,63558;3008,18364;0;0;16,809;0;3758,665044
Anadia;0;0;0;1743,238626;229,850868;6310,78476;0;0;25,816;0;8309,690254
