Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Fuel;Lubrificantes;Asfaltos;Biodiesel;Grand Total
Abrantes;0;0;192,111;2642,972814;263,40236;0;13009,83516;0;0;0;14,764;0;0;16123,08533
Águeda;0;0;126,822;2756,68261;322,718786;0;16368,93384;0;0;0;57,118;0;0;19632,27524
Aguiar da Beira;0;0;11,346;323,011286;98,78154;0;2227,75812;0;0;0;5,036;0;0;2665,932946
Alandroal;0;0;0;56,574402;0;0;201,72012;0;0;0;1,287;0;0;259,581522
Albergaria-a-Velha;0;0;64,355;2254,775302;264,767854;0;20692,71456;226,57992;0;0;58,34;0;0;23561,53264
Albufeira;0;0,934;128,874;6026,463274;408,035394;0;20010,10032;0;0;0;57,119;0;0;26631,52599
Alcácer do Sal;0;0;19,038;1652,902502;93,140866;0;9454,51836;0;0;0;7,5;0;0;11227,09973
Alcanena;0;33,493;103,466;41558,01656;4000,963772;0;128689,6355;0;0;0;46,515;0;0;174432,0898
Alcobaça;0;0;612,255;3476,56888;347,272042;0;24136,84896;0;0;0;326,095;0;0;28899,03988
Alcochete;0;0;101,678;2240,105212;131,36188;0;16297,99752;0;0;0;20,068;0;0;18791,21061
Alcoutim;0;0;0;84,631462;0;0;580,37112;0;0;0;0;0;0;665,002582
Alenquer;0;0;7,679;1871,995242;81,8844;0;23191,4802;0;23,03301;0;168,104;0;15,84;25360,01585
Alfândega da Fé;0;0;0;2611,793744;188,053632;0;21739,47888;0;0;0;0;0;0;24539,32626
Alijó;0;0;0;485,528878;105,297608;0;2953,97424;0;0;0;1,246;0;0;3546,046726
Aljezur;0;0;21,621;1216,818504;49,578516;0;3545,99028;0;0;0;2,733;0;0;4836,7413
Aljustrel;0;0;32,137;923,751658;93,553304;0;5990,54904;0;0;0;222,637;0;0;7262,628002
Almada;0;3,895;98,776;18058,91585;978,931772;0;51238,97436;0;0;0;67,447;0;0;70446,93998
Almeida;0;0;0;187,118434;16,470376;0;3990,16464;0;0;0;0,915;0;0;4194,66845
Almeirim;0;0;83,78;1641,1627;71,0645;0,04992;7478,75352;0;0;0;6,598;0;0;9281,40864
Almodôvar;0;0;20,27;1077,558208;168,414948;0;7248,83796;0;0;0;60,26;0;0;8575,341116
Alpiarça;0;0;0;404,202196;17,279418;0;1597,37676;0;0;0;2,049;0;0;2020,907374
Alter do Chão;0;0;0,11;136,975298;19,310694;0;744,2232;0;0;0;0,175;0;0;900,794192
Alvaiázere;0;0;0;434,183936;114,742212;0;5440,50528;0;0;0;374,407;0;0;6363,838428
Alvito;0;0;0;27,578874;0;0;105,3738;0;0;0;0;0;0;132,952674
Amadora;0;0;430,685;12364,86794;575,278626;0;27760,23432;0;0;0;26,506;0;0;41157,57189
Amarante;0;0;77,666;3388,131326;377,003016;0;13982,07804;0;0;0;26,919;0;0;17851,79738
Amares;0;0;0;853,27853;22,60869;0;3410,52852;0;0;0;5,412;0;0;4291,82774
Anadia;0;0;0;1583,370826;203,841638;0;6063,22584;0;0;0;14,871;0;0;7865,309304
Angra do Heroismo;0;0;0;2601,582496;165,500738;0;3653,9538;0;0;0;128,376;0;0;6549,413034
Ansião;0;0;36,599;441,597684;220,618138;0;3141,68988;0;0;0;3,365;0;0;3843,869702
Arcos de Valdevez;60,205;110,764;32,951;1663,635204;229,066708;0;7271,39112;0;0;0;6,096;0;21,543;9395,652032
Arganil;0;0;0;625,979044;163,317154;0;2782,68816;0;0;0;15,44;0;0;3587,424358
Armamar;0;0;8,511;320,372684;29,389412;0;2892,92136;0;0;0;1,285;0;0;3252,479456
Arouca;0;0;0;1370,30875;195,517478;0;5882,4486;0;0;0;3,979;0;0;7452,253828
Arraiolos;0;0;0;322,673348;44,051696;0;1730,81076;0;0;0;0,107;0;0;2097,642804
Arronches;0;0;0;103,998368;0;0;383,09544;0;0;0;0;0;0;487,093808
Arruda dos Vinhos;0;0;3,8;683,155468;67,007226;0;4814,85396;0;0;81,74;182,56;0;0;5833,116654
Aveiro;0;0;453,399;22930,10711;2046,841576;0;149148,2328;0;0;0;222,464;0;66,5;174867,5445
Avis;0;0;0;444,277316;102,669164;0;1971,63456;0;0;0;0;0;0;2518,58104
Azambuja;1406,44;1010,396;146,306;18769,32643;1560,645788;0;107651,1517;0;0;0;777,69;0;0;131321,9559
Baião;0;0;0;444,742074;0;0;2308,9416;0;0;0;8,334;0;0;2762,017674
Barcelos;0;0;265,392;6793,592232;446,702776;0;30034,87872;0;0;0;57,498;0;49,145;37647,20873
Barrancos;0;0;0;48,909252;0;0;253,98744;0;0;0;0;0;0;302,896692
Barreiro;0;5,058;614,676;13387,03938;640,320928;0;44547,28908;0;491,8745;0;114,53;0;0;59800,78789
Batalha;0;0;137,285;998,959648;187,373524;0;6761,96808;0;0;0;51,412;0;0;8136,998252
Beja;0;0;96,541;2026,069606;158,639338;0;10981,65264;226,60008;0;0;48,188;0;0;13537,69066
Belmonte;0;0;0;639,827788;16,579706;0;2861,40792;0;0;0;6,306;0;0;3524,121414
Benavente;0;0;86,245;1948,024578;118,628328;0;14628,23712;0;0;0;57,697;0;0;16838,83203
Bombarral;0;0;0;795,154686;70,575154;0;4150,5492;0;0;0;7,359;0;0;5023,63804
Borba;0;0;0;444,268364;45,979674;0;2157,70884;0;0;0;4,515;0;0;2652,471878
Boticas;0;0;10,522;239,225042;7,64933;0;981,47364;0;0;0;0,367;0;0;1239,237012
Braga;0;0;630,307;19257,0008;1329,221322;0;85916,08284;0;0;0;1123,077;0;112,629;108368,318
Bragança;0;0;1,442;2101,411876;178,111388;0;13607,61108;0;0;33,76;108,054;0;0;16030,39034
Cabeceiras de Basto;0;0;6,731;955,925146;210,820662;0;6343,33476;0;0;0;1,404;0;0;7518,215568
Cadaval;0;0;0;336,635484;7,172802;0,04992;1449,4242;0;0;0;2,74;0;0;1796,022406
Caldas da Rainha;0;0;491,443;6715,736688;528,47483;0;40946,04864;962,31072;0;0;170,48;0;0;49814,49388
Calheta (Açores);0;0;0;171,135384;0;0;121,91172;0;0;0;5,507;0;0;298,554104
Calheta (Madeira);0;0;0;692,0269;193,963484;0;1439,13168;0;0;0;0,046;0;0;2325,168064
Câmara de Lobos;0;0;0;1600,282646;661,864216;0;3850,74564;0;0;0;0,468;0;0;6113,360502
Caminha;0;0;0;734,212454;49,95627;0;2485,61376;0;0;0;0,177;0;0;3269,959484
Campo Maior;0;0;0;278,0715;0;0;1242,80436;0;0;0;0;0;0;1520,87586
Cantanhede;0;2,853;174,721;2575,711216;616,039112;0;18873,16704;0;0;0;350,365;0;0;22592,85637
Carrazeda de Ansiães;0;0;0;229,035428;166,523916;0;1583,56044;0;0;0;0,438;0;0;1979,557784
Carregal do Sal;0;0;40,889;872,464158;144,250756;0;2922,27096;0;0;0;0;0;0;3979,874874
