Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;185,776;2573,824582;277,033926;13382,48352;0;15,605;0;16434,72303
Águeda;0;0;122,99;3038,17452;385,494564;16742,3094;0;1447,266;0;21736,23448
Aguiar da Beira;0;0;13,524;342,167074;39,370864;2315,04756;0;2,891;0;2713,000498
Alandroal;0;0;0;125,673398;0;171,42468;0;0,906;0;298,004078
Albergaria-a-Velha;0;0;87,762;2522,969016;309,729628;24553,46796;255,44736;38,65;0;27768,02596
Albufeira;0;0,973;123,57;6780,956484;537,943562;23481,50316;0;31,653;0;30956,59921
Alcácer do Sal;0;0;29,076;1724,424506;105,415986;10858,7992;0;6,799;0;12724,51469
Alcanena;0;49,322;221,839;36703,91914;4064,28997;120600,6648;0;26,366;0;161666,4009
Alcobaça;0;0;513,281;3471,34315;429,307242;26854,07104;0;472,521;0;31740,52343
Alcochete;0;0;94,556;2295,87841;123,668064;19951,322;0;55,411;0;22520,83547
Alcoutim;0;0;0;80,690344;0;701,25468;0;1,364;0;783,309024
Alenquer;0;0;10,747;2160,40108;99,849958;25249,6286;0;614,771;7,04;28142,43764
Alfândega da Fé;0;0;0;159,348584;18,09977;1217,23812;0;0;0;1394,686474
Alijó;0;0;0;498,762918;122,61171;3162,4822;0;2,337;0;3786,193828
Aljezur;0;0;0;1398,264354;49,111036;3899,99868;0;2,223;0;5349,59707
Aljustrel;0;0;27,355;1036,42153;120,8662;6422,91916;0;273,658;0;7881,21989
Almada;0;3,1;123,198;18018,00521;1157,2769;58957,54308;0;45,364;0;78304,48719
Almeida;0;0;0;185,395174;24,342136;5195,33364;0;0,992;0;5406,06295
Almeirim;0;0;160,481;1584,004926;72,577024;7952,06916;0;15,684;0;9784,81611
Almodôvar;0;0;34,492;1181,38052;175,265792;7184,55528;0;10,74;0;8586,433592
Alpiarça;0;0;0;386,759224;21,793616;1569,85212;0;1,424;0;1979,82896
Alter do Chão;0;0;0,11;143,614698;19,420024;816,54804;0;0,348;0;980,040762
Alvaiázere;0;0;0;358,814064;99,210566;3708,75708;0;37,025;0;4203,80671
Alvito;0;0;0;17,752562;0;152,09208;0;0;0;169,844642
Amadora;0;0;889,598;13947,99109;779,91498;33769,89932;0;39,177;0;49426,58039
Amarante;0;0;52,407;2992,555128;310,267984;13911,3702;0;36,46;0;17303,06031
Amares;0;0;0;690,443888;27,72835;3288,78072;0;5,235;0;4012,187958
Anadia;0;0;0;1628,98052;199,129892;6520,00608;0;17,703;0;8365,819492
Angra do Heroismo;0;0;0;2406,511702;115,775192;4722,39852;0;106,565;0;7351,250414
Ansião;0;0;37,737;534,745482;224,26976;4226,23808;0;5,632;0;5028,622322
Arcos de Valdevez;67,207;113,868;34,847;1443,45778;221,84942;6693,15948;0;2,846;18,607;8595,84168
Arganil;0;0;0;508,62653;139,201218;2669,36964;0;6,634;0;3323,831388
Armamar;0;0;6,326;306,150194;28,811094;2942,68128;0;4,073;0;3288,041568
Arouca;0;0;0;1406,744136;221,940654;6459,77136;0;8,181;0;8096,63715
Arraiolos;0;0;0;306,764152;43,315038;1702,59096;0;0,304;0;2052,97415
Arronches;0;0;0;117,682992;0;452,42904;0;0;0;570,112032
Arruda dos Vinhos;0;0;0;631,170458;57,504564;4258,53328;0;15,285;0;4962,493302
Aveiro;0;0;394,203;21513,2875;2226,359928;91313,08168;0;373,817;63,76;115884,5091
Avis;0;0;0;439,823696;124,069946;2213,5848;0;0;0;2777,478442
Azambuja;1287,37;977,473;139,549;19181,3191;1410,44748;128995,6432;0;823,011;0;152814,8128
Baião;0;0;0;428,415118;0;2361,36032;0;8,458;0;2798,233438
Barcelos;0;0;353,184;6687,87508;524,216238;30450,6216;0;60,288;65,239;38141,42392
Barrancos;0;0;0;44,037872;0;246,78108;0;0;0;290,818952
Barreiro;0;5,339;643,379;11622,30327;787,148856;42928,29072;0;26,464;0;56012,92485
Batalha;0;0;126,103;994,502298;177,55569;7225,51956;0;60,34;0;8584,020548
Beja;0;0;96,374;2064,9653;210,548468;13037,47752;251,83116;46,782;0;15707,97845
Belmonte;0;0;0;617,422424;20,231328;2975,7798;0;1,737;0;3615,170552
Benavente;0;0;77,719;1954,954172;145,764788;20333,48552;0;43,687;0;22555,61048
Bombarral;0;0;0;1416,170592;73,074664;4442,05104;0;6,992;0;5938,288296
Borba;0;0;0;392,415396;46,77062;2705,16036;0;3,18;0;3147,526376
Boticas;0;0;12,537;239,899426;1,565304;1038,40044;0;0,166;0;1292,56817
Braga;0;0;562,883;18807,29708;1253,79644;88437,52372;0;1326,211;90,049;110477,7602
Bragança;0;0;0,495;2150,545674;203,076328;13787,45508;0;40,834;0;16182,40608
Cabeceiras de Basto;0;0;6,904;1038,876616;253,738342;6796,20984;0;2,075;0;8097,803798
Cadaval;0;0;0;430,573296;36,36542;2109,92124;0;5,708;0;2582,567956
Caldas da Rainha;0;0;495,188;6353,027012;428,817142;39554,56512;901,08816;155,143;0;47887,82843
Calheta (Açores);0;0;0;173,872458;0;561,33336;0;9,746;0;744,951818
Calheta (Madeira);0;0;0;698,910242;207,503816;1827,62496;0;2,657;0;2736,696018
Câmara de Lobos;0;0;0;1641,8341;675,598326;4617,61188;0;0;0;6935,044306
Caminha;0;0;0;747,683722;55,23427;2700,31776;0;7,543;0;3510,778752
Campo Maior;0;0;0;274,97187;0;1019,69364;0;0;0;1294,66551
Cantanhede;0;3,216;187,259;3862,394858;896,44191;25510,52392;0;370,42;0;30830,25569
Carrazeda de Ansiães;0;0;0;216,051298;172,249038;2248,67496;0;0,991;0;2637,966296
Carregal do Sal;0;0;26,034;823,319916;116,237394;2786,59416;0;0,022;0;3752,20747
Cartaxo;0;0;0;1708,935308;204,02486;6148,9302;0;25,052;0;8086,942368
Cascais;0;0;172,555;22456,33669;1470,677754;57603,19736;0;397,835;0;82100,6018
Castanheira de Pêra;0;0;0;125,251908;0;525,6636;0;0;0;650,915508
Castelo Branco;0;0;140,512;4728,586648;365,149382;28334,95224;0;150,64;0;33719,84027
Castelo de Paiva;0;0;47,184;1739,685428;222,779102;6519,198;0;2,246;0;8531,09253
Castelo de Vide;0;0;0;204,347304;10,659298;873,67224;0;0;0;1088,678842
Castro d’Aire;0;0;15,196;769,295342;136,582576;4471,6602;0;5,467;0;5398,201118
Castro Marim;0;0;0;413,721902;1,504984;1701,32844;0;0,614;0;2117,169326
