Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Abrantes;0;0;173;2317;248;0;12459;0;22;0;15219
Águeda;0;0;143;2987;368;0;16700;0;1496;0;21694
Aguiar da Beira;0;0;17;355;52;0;2427;0;52;0;2903
Alandroal;0;0;0;48;0;0;113;0;0;0;161
Albergaria-a-Velha;0;0;81;3616;344;0;27425;243;43;0;31752
Albufeira;0;2;82;7898;615;0;26750;0;53;0;35400
Alcácer do Sal;0;0;28;1776;122;0;10280;0;7;0;12213
Alcanena;0;43;327;43629;4162;0;153223;0;50;0;201434
Alcobaça;0;0;426;3711;447;0;29070;0;564;114;34332
Alcochete;0;0;64;2397;132;0;16848;0;18;0;19459
Alcoutim;0;0;0;77;0;0;427;0;1;0;505
Alenquer;548;478;14;2106;108;0;24861;0;548;1;28664
Alfândega da Fé;0;0;0;125;23;0;683;0;0;0;831
Alijó;0;0;0;614;176;0;3806;0;2;0;4598
Aljezur;0;0;0;1334;43;0;3559;0;2;0;4938
Aljustrel;0;0;9;1050;132;0;6714;0;246;0;8151
Almada;0;2;184;17913;1050;0;81721;0;236;0;101106
Almeida;0;0;1;170;22;0;5414;0;0;0;5607
Almeirim;0;0;282;1374;63;0;7358;0;16;0;9093
Almodôvar;0;0;50;1180;184;0;13660;0;18;0;15092
Alpiarça;0;0;0;332;27;0;1487;0;1;0;1847
Alter do Chão;0;0;0;114;18;0;842;0;0;0;974
Alvaiázere;0;0;0;338;97;0;3390;0;6;0;3831
Alvito;0;0;0;29;0;0;140;0;0;0;169
Amadora;0;0;1045;14245;666;0;35789;0;55;0;51800
Amarante;0;0;54;2970;294;0;14372;0;32;0;17722
Amares;0;0;0;751;24;0;3377;0;9;0;4161
Anadia;0;0;13;1610;207;0;6626;0;17;0;8473
Angra do Heroismo;0;0;0;3397;171;0;7276;0;122;0;10966
Ansião;0;0;35;483;230;0;4552;0;6;0;5306
Arcos de Valdevez;242;114;34;1260;211;0;6296;0;2;16;8175
Arganil;0;0;0;479;139;0;2552;0;4;0;3174
Armamar;0;0;6;297;29;0;2905;0;2;0;3239
Arouca;0;0;0;1403;216;0;6704;0;6;0;8329
Arraiolos;0;0;0;297;46;0;1617;0;0;0;1960
Arronches;0;0;0;101;0;0;438;0;0;0;539
Arruda dos Vinhos;0;0;0;670;60;0;4459;0;366;0;5555
Aveiro;0;0;382;26118;3114;0;117368;0;134;89;147205
Avis;0;0;0;470;127;0;2326;0;0;0;2923
Azambuja;135;102;79;16924;1718;0;117281;0;900;0;137139
Baião;0;0;0;390;56;0;2425;0;11;0;2882
Barcelos;0;0;334;6380;499;0;30167;0;61;59;37500
Barrancos;0;0;0;42;0;0;289;0;0;0;331
