Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Abrantes;0;0;107,128;2253,720458;266,959732;12140,0054;0;17,331;14785,14459
Águeda;0;0;143,012;2881,155694;397,046598;18019,66444;0;1220,27;22661,14873
Aguiar da Beira;0;0;27,403;342,676592;39,7358;2396,61548;0;59,132;2865,562872
Alandroal;0;0;0;89,037338;0;96,04728;0;0;185,084618
Albergaria-a-Velha;0;0;126,041;2778,692594;337,171458;26561,9424;239,81664;38,676;30082,34009
Albufeira;0;2,363;81,335;8237,673668;651,288612;25109,967;0;38,914;34121,54128
Alcácer do Sal;0;0;22,451;1977,333426;147,940832;10119,89412;120,29892;9,59;12397,5083
Alcanena;0;44,822;308,246;45471,91004;4115,28299;169652,5505;0;71,443;219664,2545
Alcobaça;0;0;398,546;3878,247358;516,456824;30398,44488;0;541,39;35733,08506
Alcochete;0;0;88,546;2460,489278;158,100982;16022,43216;0;43,416;18772,98442
Alcoutim;0;0;0;93,240302;0;740,6196;0;1,252;835,111902
Alenquer;607,942;492,891;15,3;2169,508248;116,155208;26738,5392;0;367,842;30508,17766
Alfândega da Fé;0;0;0;123,696498;24,128;700,24416;0;0;848,068658
Alijó;0;0;0;682,803356;197,976272;4201,63312;0;1,29;5083,702748
Aljezur;0;0;0;1303,367932;44,507866;3252,297;0;2,711;4602,883798
Aljustrel;0;0;27,46;1289,247644;151,026954;6151,85736;0;168,35;7787,941958
Almada;0;0;198,021;16654,97891;948,907492;53721,129;85,344;90,832;71699,21241
Almeida;0;0;8,421;211,042654;20,1318;6123,58572;0;0,799;6363,980174
Almeirim;0;0;257,913;1380,973566;69,48487;9549,27708;0;130,063;11387,71152
Almodôvar;0;0;28,838;1214,31269;158,267616;6510,2898;0;14,242;7925,950106
Alpiarça;0;0;0;328,542876;26,025818;1509,80124;0;1,18;1865,549934
Alter do Chão;0;0;0,275;87,41628;19,36649;726,97464;5,88;0,204;840,11641
Alvaiázere;0;0;0;349,929204;98,026786;4407,64632;0;46,548;4902,15031
Alvito;0;0;0;30,081704;0;99,53916;0;0,415;130,035864
Amadora;0;0;1015,341;13947,5614;710,507018;35707,86332;0;73,396;51454,66874
Amarante;0;0;48,598;3045,96649;336,958076;14719,70172;0;28,125;18179,34929
Amares;0;0;0;832,99479;28,240316;3772,44768;0;5,458;4639,140786
Anadia;0;0;20,38;1553,97768;216,20196;6756,4014;0;17,459;8564,42004
Angra do Heroismo;0;0;0;2751,04285;133,508518;7201,70556;0;106,289;10192,54593
Ansião;0;0;33,544;539,10063;245,686376;3854,84364;0;5,724;4678,898646
Arcos de Valdevez;174,756;91,299;33,087;1304,365334;226,255042;6266,05308;0;2,745;8098,560456
Arganil;0;0;0;575,13616;169,217204;2878,74552;0;4,275;3627,373884
Armamar;0;0;4,938;310,491914;28,485366;2831,22612;0;2,274;3177,4154
Arouca;0;0;0;1356,38466;211,46307;6953,5872;0;8,402;8529,83693
Arraiolos;0;0;0;297,727108;52,925522;1493,67456;0;0;1844,32719
Arronches;0;0;0;98,461556;0;416,57028;7,56;0,035;522,626836
Arruda dos Vinhos;0;0;0;755,909864;53,788098;4657,72308;0;209,371;5676,792042
Aveiro;0;0;466,465;29156,34322;3419,29952;128660,2564;0;458,427;162160,7911
Avis;0;0;0;411,086284;132,74924;2080,66824;0;0;2624,503764
Azambuja;142,22;95,012;122,812;16479,45854;1874,52317;117079,7966;0;953,618;136747,4403
Baião;0;0;0;390,066242;64,194052;2477,01016;0;10,284;2941,554454
Barcelos;0;0;341,037;6746,202582;565,870214;33242,49872;9,28956;79,372;40984,27008
Barrancos;0;0;0;44,851012;0;237,22776;0;0;282,078772
Barreiro;0;0;642,571;10640,81942;383,571864;36915,03984;0;19,906;48601,90812
Batalha;0;0;95,61;917,256982;174,516316;6374,39796;0;57,053;7618,834258
Beja;0;0;90,219;2786,89188;341,4112;17382,91856;279,49488;46,468;20927,40352
Belmonte;0;0;0;604,961986;24,500476;4088,65044;0;3,184;4721,296902
Benavente;0;0;77,239;1974,074152;166,111478;21100,5514;0;80,598;23398,57403
Bombarral;0;0;0;758,326158;61,084556;4150,4694;0;9,603;4979,483114
Borba;0;0;0;266,339158;21,856952;2777,44152;0;1,071;3066,70863
Boticas;0;0;13,324;225,8888;0;1067,03436;0,336;0;1306,58316
Braga;0;0;1177,673;21026,00478;1640,972424;95495,0316;39,67908;1263,979;120643,3399
Bragança;0;0;4,646;2259,385582;200,313672;13977,369;0;58,155;16499,86925
Cabeceiras de Basto;0;0;0;990,561926;270,56159;6777,34512;0;18,389;8056,857636
Cadaval;0;0;0;491,702774;46,13349;2479,31124;0;5,067;3022,214504
Caldas da Rainha;0;0;408,613;5897,20833;389,886614;37677,83536;1176,8358;318,065;45868,4441
Calheta (Açores);0;0;0;198,712766;0;1291,32444;0;8,2;1498,237206
Calheta (Madeira);0;0;0;691,02726;241,130708;2774,72664;0;3,652;3710,536608
Câmara de Lobos;0;0;0;1512,209886;789,050444;4142,70024;0;0,705;6444,66557
Caminha;0;0;0;623,763424;48,820746;2430,01248;0;5,014;3107,61065
Campo Maior;0;0;0;234,606556;0;946,78668;17,68032;0;1199,073556
Cantanhede;0;1,316;211,675;2995,486908;779,566632;22721,66808;0;396,468;27106,18062
Carrazeda de Ansiães;0;0;0;240,963968;152,576424;2175,14892;0;14,674;2583,363312
Carregal do Sal;0;0;23,883;765,893582;97,050356;2314,6914;0;0,456;3201,974338
Cartaxo;0;0;0;1273,671164;158,47949;5962,0638;0;0,52;7394,734454
Cascais;0;0;251,996;22212,44392;1559,014132;56921,29048;0;267,716;81212,46054
Castanheira de Pêra;0;0;0;125,260114;0;510,25548;0;0;635,515594
Castelo Branco;0;0;151,125;5104,975726;506,261236;31259,76796;0;328,715;37350,84492
Castelo de Paiva;0;0;87,245;1138,226658;237,965416;5844,40416;0;2,299;7310,140234
Castelo de Vide;0;0;0;175,622574;14,92543;740,62968;0;0,198;931,375684
Castro d’Aire;0;0;6,101;903,880456;156,59072;5796,82152;0;2,941;6866,334696
Castro Marim;0;0;0;422,10918;4,505904;1483,67688;0;0,758;1911,049964
Castro Verde;0;0;0;420,118852;17,372914;2771,4666;3,36;0,763;3213,081366
Celorico da Beira;0;0;0;446,793574;58,66497;3698,01816;0;0,286;4203,762704
Celorico de Basto;0;0;5,799;731,543266;102,704602;3528,25956;0;2,572;4370,878428
Chamusca;0;0;20,673;439,754318;22,414158;2900,47968;0;4,781;3388,102156
Chaves;0;0;45,644;1634,841842;94,079596;11501,52444;0;40,013;13316,10288
Cinfães;0;0;0;599,56766;107,538496;3069,2298;0;4,085;3780,420956
Coimbra;0;0,596;1475,7;14136,0838;732,56001;62789,10313;0;238,38;79372,42294
Condeixa-a-Nova;0;0;87,625;821,332572;66,327118;9559,84764;0;5,384;10540,51633
Constância;0;0;0;142,621026;0;1114,82868;0;0,381;1257,830706
Coruche;0;0;0;980,424532;128,166428;6532,2124;0;16,534;7657,33736
Corvo;0;0;0;23,375164;0;94,95024;0;0;118,325404
Covilhã;0;0;27,899;2730,686002;244,364614;10632,50556;0;13,379;13648,83418
Crato;0;0;0;299,827098;0;1095,273;0;0,284;1395,384098
Cuba;0;0;0;308,338212;0;1534,7976;0;0;1843,135812
Elvas;0;0;23,852;721,69905;41,561988;9454,38528;12,59076;17,845;10271,93408
Entroncamento;0;0;0;1042,208998;128,635416;3395,66556;1442,85708;6,553;6015,920054
Espinho;0;0;23,622;14163,66342;1147,977064;54624,4734;0;4,806;69964,54189
