Ano;INE;dicofre;cod_distrito;dicofre_2;cod_distrito_2;distrito;Pordata;Concelho ADENE;Concelho DGEG;AUX;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;GN (Nm3);Elect (kWh);EC(TJ)_Butano;EC(TJ)_Propano;EC(TJ)_Gás Auto;EC(TJ)_Gasolina IO 95;EC(TJ)_Gasolina IO 98;EC(TJ)_Gasóleo Rodoviário;EC(TJ)_Gasóleo Colorido;EC(TJ)_Lubrificantes;EC(TJ)_Biodiesel;EC(TJ)_GN;EC(TJ)_Elect;EC(TJ)_LiquidFuels FINAL;EC(TJ)_Total FINAL;%EC_Others;%EC_LiquidFuels;%EC_NG;%EC_Elect;CO2(ton)_Butano;CO2(ton)_Propano;CO2(ton)_Gás Auto;CO2(ton)_Gasolina IO 95;CO2(ton)_Gasolina IO 98;CO2(ton)_Gasóleo Rodoviário;CO2(ton)_Gasóleo Colorido;CO2(ton)_Lubrificantes;CO2(ton)_Biodiesel;CO2(ton)_GN;CO2(ton)_Elect Uso;CO2(ton)_Elect;CO2(ton)_LiquidFuels FINAL;CO2(ton)_Total FINAL;EF(kg/GJ)_Total (FINAL);EF(kg/GJ)_Transp (FINAL);E PRIMÁRIA (TJ);CO2 PRIMÁRIA (ton);E PRIMÁRIA Transp (TJ) ;CO2 PRIMÁRIA Transp (ton);EF(kg/GJ)_Total (PRIMÁRIA);EF(kg/GJ)_Transp (PRIMÁRIA);VAB_Total €;VAB(€)/hab;EC(TJ Prim)/M€;CO2(ton Prim)/M€;Numero de ligeiros;Numero total;População;Taxa Mot_Ligeiros;Taxa Mot_Total;EC(GJ)/Veiculo;CO2(ton)/Veiculo
2019;Abrantes;1401;14;"""1401""";"""14""";Santarém;Abrantes;ABRANTES;Abrantes;12;0;0;107.128;2253.720458;266.959732;12140.0054;0;17.331;0;399651;182744823;0.0;0.0;5.3;104.6;12.4;553.6;0.0;0.7;0.0;15.2;657.9;676;1350;0%;50%;1%;49%;0;0;281;6756;800;37627;0;55;0;879;0;46600;45465;46399;34.4;67.3;2084;103384;808;55646;49.6;68.8;;0;0;0;22602;27472;35130;643;782;24.6;1.7
2019;Águeda;101;1;"""0101""";"""01""";Aveiro;Águeda;AGUEDA;Águeda;12;0;0;143.012;2881.155694;397.046598;18019.66444;0;1220.27;0;20172;279951908;0.0;0.0;7.1;133.7;18.4;821.7;0.0;49.1;0.0;0.8;1007.8;981;2039;2%;48%;0%;49%;0;0;375;8637;1190;55850;0;3883;0;44;0;71388;66053;69980;34.3;67.3;3155;156580;1173;80863;49.6;68.9;;0;0;0;33789;43363;46075;733;941;22.6;1.5
2019;Aguiar da Beira;901;9;"""0901""";"""09""";Guarda;Aguiar da Beira;AGUIAR DA BEIRA;Aguiar da Beira;12;0;0;27.403;342.676592;39.7358;2396.61548;0;59.132;0;205;18133211;0.0;0.0;1.4;15.9;1.8;109.3;0.0;2.4;0.0;0.0;65.3;128;196;1%;65%;0%;33%;0;0;72;1027;119;7428;0;188;0;0;0;4624;8646;8835;45.1;67.3;281;15417;154;10585;54.9;68.9;;0;0;0;4291;6321;4652;922;1359;20.3;1.4
2019;Alandroal;701;7;"""0701""";"""07""";Évora;Alandroal;ALANDROAL;Alandroal;12;0;0;0;89.037338;0;96.04728;0;0;0;0;18095569;0.0;0.0;0.0;4.1;0.0;4.4;0.0;0.0;0.0;0.0;65.1;9;74;0%;12%;0%;88%;0;0;0;267;0;298;0;0;0;0;0;4614;565;565;7.7;66.3;135;5303;10;689;39.4;68.0;;0;0;0;4340;5499;4992;869;1102;1.5;0.1
2019;Albergaria-a-Velha;102;1;"""0102""";"""01""";Aveiro;Albergaria-a-Velha;ALBERGARIA-A-VELHA;Albergaria-a-Velha;12;0;0;126.041;2778.692594;337.171458;26561.9424;239.81664;38.676;0;5302;179364334;0.0;0.0;6.3;128.9;15.6;1211.2;10.9;1.6;0.0;0.2;645.7;1362;2020;1%;67%;0%;32%;0;0;331;8330;1011;82326;743;123;0;12;0;45738;91998;92876;46.0;67.5;2880;159495;1631;112696;55.4;69.1;;0;0;0;17639;23265;24144;731;964;58.5;4.0
2019;Albufeira;801;8;"""0801""";"""08""";Faro;Albufeira;ALBUFEIRA;Albufeira;12;0;2.363;81.335;8237.673668;651.288612;25109.967;0;38.914;0;703;361330713;0.0;0.1;4.0;382.2;30.2;1145.0;0.0;1.6;0.0;0.0;1300.8;1561;2864;0%;55%;0%;45%;0;7;213;24696;1952;77826;0;124;0;2;0;92139;104687;104820;36.6;67.0;4352;220330;1865;128045;50.6;68.6;;0;0;0;33492;39232;41528;806;945;39.8;2.7
2019;Alcácer do Sal;1501;15;"""1501""";"""15""";Setúbal;Alcácer do Sal;ALCACER DO SAL;Alcácer do Sal;12;0;0;22.451;1977.333426;147.940832;10119.89412;120.29892;9.59;0;2110;81293885;0.0;0.0;1.1;91.7;6.9;461.5;5.5;0.4;0.0;0.1;292.7;561;860;1%;65%;0%;34%;0;0;59;5928;444;31366;373;31;0;5;0;20730;37796;38204;44.4;67.3;1238;67499;671;46272;54.5;68.9;;0;0;0;7824;9946;11659;671;853;56.4;3.8
2019;Alcanena;1402;14;"""1402""";"""14""";Santarém;Alcanena;ALCANENA;Alcanena;12;0;44.822;308.246;45471.91004;4115.28299;169652.5505;0;71.443;0;2169;76974668;0.0;2.2;15.3;2109.9;190.9;7736.2;0.0;2.9;0.0;0.1;277.1;10052;10335;0%;97%;0%;3%;0;132;809;136320;12337;525821;0;227;0;5;0;19629;675287;675651;65.4;67.2;12551;846332;12016;826298;67.4;68.8;;0;0;0;9254;11113;12809;722;868;904.6;60.8
2019;Alcobaça;1001;10;"""1001""";"""10""";Leiria;Alcobaça;ALCOBAÇA;Alcobaça;12;0;0;398.546;3878.247358;516.456824;30398.44488;0;541.39;0;15344;315370106;0.0;0.0;19.8;180.0;24.0;1386.2;0.0;21.8;0.0;0.6;1135.3;1610;2768;1%;58%;0%;41%;0;0;1046;11627;1548;94217;0;1723;0;34;0;80419;108437;110194;39.8;67.4;4120;215114;1926;132757;52.2;68.9;;0;0;0;41418;52218;53555;773;975;30.8;2.1
2019;Alcochete;1502;15;"""1502""";"""15""";Setúbal;Alcochete;ALCOCHETE;Alcochete;12;0;0;88.546;2460.489278;158.100982;16022.43216;0;43.416;0;4096;81991134;0.0;0.0;4.4;114.2;7.3;730.6;0.0;1.7;0.0;0.2;295.2;857;1154;0%;74%;0%;26%;0;0;232;7376;474;49660;0;138;0;9;0;20908;57742;57890;50.2;67.4;1591;91777;1025;70706;57.7;69.0;;0;0;0;9795;11490;19787;495;581;74.5;5.0
