Ano,INE,dicofre,cod_distrito,dicofre_2,cod_distrito_2,distrito,Pordata,Concelho ADENE,Concelho DGEG,AUX,Butano,Propano,Gás Auto,Gasolina IO 95,Gasolina IO 98,Gasóleo Rodoviário,Gasóleo Colorido,Lubrificantes,Biodiesel,GN (Nm3),EC(TJ)_Butano,EC(TJ)_Propano,EC(TJ)_Gás Auto,EC(TJ)_Gasolina IO 95,EC(TJ)_Gasolina IO 98,EC(TJ)_Gasóleo Rodoviário,EC(TJ)_Gasóleo Colorido,EC(TJ)_Lubrificantes,EC(TJ)_Biodiesel,EC(TJ)_GN,EC(TJ)_Elect,EC(TJ)_LiquidFuels,EC(TJ)_Total,%EC_Others,%EC_LiquidFuels,%EC_NG,%EC_Elect,CO2(ton)_Butano,CO2(ton)_Propano,CO2(ton)_Gás Auto,CO2(ton)_Gasolina IO 95,CO2(ton)_Gasolina IO 98,CO2(ton)_Gasóleo Rodoviário,CO2(ton)_Gasóleo Colorido,CO2(ton)_Lubrificantes,CO2(ton)_Biodiesel,CO2(ton)_GN,CO2(ton)_Elect,CO2(ton)_LiquidFuels,CO2(ton)_Total,%CO2_Others,%CO2_LiquidFuels,%CO2_NG,%CO2_Elect,EF(kg/GJ)_Total,EF(kg/MJ)_Transp,VAB_Total,VAB(€)/hab,EC(TJ)/M€,CO2(ton)/M€,Numero de ligeiros,Numero total,População,Taxa Mot_Ligeiros,Taxa Mot_Total,EC(GJ)/Veiculo,CO2(ton)/Veiculo
2019,Abrantes,1401,14,"""1401""","""14""",Santarém,Abrantes,ABRANTES,Abrantes,12,0,0,107.128,2253.720458,266.959732,12140.0054,0,17.331,,399651.4,0,0,10,105,12,554,0,1,0,14,,681,696,0%,98%,2%,0%,0,0,281,6756,800,37627,0,55,0,787,,45464,46306,0%,98%,2%,0%,66.5,66.8,,0,,,22602,27472,35130,643,782,24.8,1.7
2019,Águeda,101,1,"""0101""","""01""",Aveiro,Águeda,AGUEDA,Águeda,12,0,0,143.012,2881.155694,397.046598,18019.66444,0,1220.27,,20172.3,0,0,14,134,18,822,0,49,0,1,,988,1038,5%,95%,0%,0%,0,0,375,8637,1190,55850,0,3883,0,40,,66052,69975,6%,94%,0%,0%,67.4,66.9,,0,,,33789,43363,46075,733,941,22.8,1.5
2019,Aguiar da Beira,901,9,"""0901""","""09""",Guarda,Aguiar da Beira,AGUIAR DA BEIRA,Aguiar da Beira,12,0,0,27.403,342.676592,39.7358,2396.61548,0,59.132,,204.9,0,0,3,16,2,109,0,2,0,0,,130,132,2%,98%,0%,0%,0,0,72,1027,119,7428,0,188,0,0,,8646,8834,2%,98%,0%,0%,66.9,66.5,,0,,,4291,6321,4652,922,1359,20.6,1.4
2019,Alandroal,701,7,"""0701""","""07""",Évora,Alandroal,ALANDROAL,Alandroal,12,0,0,0,89.037338,0,96.04728,0,0,,0.1,0,0,0,4,0,4,0,0,0,0,,8,8,0%,100%,0%,0%,0,0,0,267,0,298,0,0,0,0,,565,565,0%,100%,0%,0%,70.6,70.6,,0,,,4340,5499,4992,869,1102,1.5,0.1
2019,Albergaria-a-Velha,102,1,"""0102""","""01""",Aveiro,Albergaria-a-Velha,ALBERGARIA-A-VELHA,Albergaria-a-Velha,12,0,0,126.041,2778.692594,337.171458,26561.9424,239.81664,38.676,,5301.8,0,0,12,129,16,1211,11,2,0,0,,1368,1381,1%,99%,0%,0%,0,0,331,8330,1011,82326,743,123,0,10,,91998,92874,1%,99%,0%,0%,67.3,67.3,,0,,,17639,23265,24144,731,964,58.8,4.0
2019,Albufeira,801,8,"""0801""","""08""",Faro,Albufeira,ALBUFEIRA,Albufeira,12,0,2.363,81.335,8237.673668,651.288612,25109.967,0,38.914,,703.1,0,0,8,382,30,1145,0,2,0,0,,1565,1567,0%,100%,0%,0%,0,7,213,24696,1952,77826,0,124,0,1,,104687,104819,0%,100%,0%,0%,66.9,66.9,,0,,,33492,39232,41528,806,945,39.9,2.7
2019,Alcácer do Sal,1501,15,"""1501""","""15""",Setúbal,Alcácer do Sal,ALCACER DO SAL,Alcácer do Sal,12,0,0,22.451,1977.333426,147.940832,10119.89412,120.29892,9.59,,2109.8,0,0,2,92,7,461,5,0,0,0,,562,567,1%,99%,0%,0%,0,0,59,5928,444,31366,373,31,0,4,,37797,38205,1%,99%,0%,0%,67.4,67.3,,0,,,7824,9946,11659,671,853,56.5,3.8
2019,Alcanena,1402,14,"""1402""","""14""",Santarém,Alcanena,ALCANENA,Alcanena,12,0,44.822,308.246,45471.91004,4115.28299,169652.5505,0,71.443,,2169,0,2,29,2110,191,7736,0,3,0,0,,10066,10071,0%,100%,0%,0%,0,132,809,136320,12337,525823,0,227,0,4,,675289,675652,0%,100%,0%,0%,67.1,67.1,,0,,,9254,11113,12809,722,868,905.8,60.8
2019,Alcobaça,1001,10,"""1001""","""10""",Leiria,Alcobaça,ALCOBAÇA,Alcobaça,12,0,0,398.546,3878.247358,516.456824,30398.44488,0,541.39,,15344.4,0,0,38,180,24,1386,0,22,0,1,,1628,1651,1%,99%,0%,0%,0,0,1046,11627,1548,94217,0,1723,0,30,,108438,110191,2%,98%,0%,0%,66.7,66.6,,0,,,41418,52218,53555,773,975,31.2,2.1
2019,Alcochete,1502,15,"""1502""","""15""",Setúbal,Alcochete,ALCOCHETE,Alcochete,12,0,0,88.546,2460.489278,158.100982,16022.43216,0,43.416,,4095.8,0,0,8,114,7,731,0,2,0,0,,860,862,0%,100%,0%,0%,0,0,232,7376,474,49660,0,138,0,8,,57742,57888,0%,100%,0%,0%,67.2,67.1,,0,,,9795,11490,19787,495,581,74.8,5.0
