Distrito;Municipio;Tipo de veiculo;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aveiro;Águeda;Agrícola;1194;1304;1369;1500;1657;1746;1876;2127;2130;2166;2210
Aveiro;Águeda;Ciclomotor;4037;4293;4253;4183;4118;4114;4124;4200;3926;3870;3838
Aveiro;Águeda;Ligeiros;26749;29998;28914;28758;28938;29306;31218;36121;30896;32692;33789
Aveiro;Águeda;Máquinas Industriais;35;44;43;40;68;69;71;77;138;157;162
Aveiro;Águeda;Motociclos;801;930;900;967;1002;1062;1186;1607;1540;1701;1858
Aveiro;Águeda;Outros Veículos;481;508;547;434;538;593;658;522;401;413;228
Aveiro;Águeda;Pesados;411;484;441;429;553;531;562;624;547;617;618
Aveiro;Águeda;Reboque;216;269;274;271;298;311;369;573;611;616;660
Aveiro;Albergaria-a-Velha;Agrícola;781;824;860;953;1066;1110;1148;1159;1262;1292;1329
Aveiro;Albergaria-a-Velha;Ciclomotor;1709;1837;1772;1774;1763;1772;1732;1765;1729;1705;1739
Aveiro;Albergaria-a-Velha;Ligeiros;13949;15345;14977;15026;15152;15016;15351;15756;16047;16968;17639
Aveiro;Albergaria-a-Velha;Máquinas Industriais;2;9;9;4;23;26;39;72;125;136;123
Aveiro;Albergaria-a-Velha;Motociclos;580;648;620;629;649;693;750;749;917;966;1040
Aveiro;Albergaria-a-Velha;Outros Veículos;192;223;337;321;323;326;346;238;185;235;117
Aveiro;Albergaria-a-Velha;Pesados;289;294;243;252;539;539;600;626;608;759;781
Aveiro;Albergaria-a-Velha;Reboque;245;240;278;296;311;320;353;367;460;446;497
Aveiro;Anadia;Agrícola;1389;1489;1515;1771;1978;2020;2069;2134;2269;2249;2271
Aveiro;Anadia;Ciclomotor;2776;2878;2778;2718;2661;2571;2555;2467;2386;2294;2242
Aveiro;Anadia;Ligeiros;16674;17729;17283;17226;17305;17398;18036;18363;18642;19594;20217
Aveiro;Anadia;Máquinas Industriais;41;70;72;84;98;102;99;87;155;142;122
Aveiro;Anadia;Motociclos;642;688;686;712;733;751;835;949;1076;1136;1211
Aveiro;Anadia;Outros Veículos;488;544;509;448;512;518;484;342;247;255;164
Aveiro;Anadia;Pesados;184;235;208;203;310;331;356;373;413;386;339
Aveiro;Anadia;Reboque;135;209;228;277;316;305;352;409;507;542;588
Aveiro;Arouca;Agrícola;927;1060;1121;1385;1573;1601;1635;1710;1794;1856;1872
Aveiro;Arouca;Ciclomotor;1563;1698;1707;1727;1714;1699;1729;1693;1666;1667;1712
Aveiro;Arouca;Ligeiros;11569;12689;12745;12814;12908;13224;13633;13982;14246;14918;15415
Aveiro;Arouca;Máquinas Industriais;30;31;56;48;68;62;59;72;123;116;117
Aveiro;Arouca;Motociclos;554;662;685;715;763;784;861;938;969;1086;1202
Aveiro;Arouca;Outros Veículos;248;271;337;254;270;295;292;241;251;259;145
Aveiro;Arouca;Pesados;214;243;229;225;334;393;407;416;473;471;484
Aveiro;Arouca;Reboque;137;176;204;232;239;338;361;464;584;582;597
Aveiro;Aveiro;Agrícola;1106;1230;1222;1361;1440;1478;1513;1597;1684;1711;1745
Aveiro;Aveiro;Ciclomotor;3259;3772;3554;3441;3327;3277;3247;3238;3117;3079;2975
Aveiro;Aveiro;Ligeiros;41729;46858;44067;44472;44476;44162;45909;50042;47499;50567;52444
Aveiro;Aveiro;Máquinas Industriais;42;62;66;61;75;58;54;67;222;249;273
Aveiro;Aveiro;Motociclos;1418;1719;1711;1781;1799;1812;1935;2330;2670;2817;3158
Aveiro;Aveiro;Outros Veículos;936;1009;997;916;968;1006;921;531;471;544;228
Aveiro;Aveiro;Pesados;441;605;512;414;532;538;528;493;593;598;566
Aveiro;Aveiro;Reboque;315;419;385;372;367;371;406;618;813;761;784
Aveiro;Castelo de Paiva;Agrícola;300;317;347;404;456;485;506;502;555;562;580
Aveiro;Castelo de Paiva;Ciclomotor;925;992;968;978;942;910;897;878;881;867;902
Aveiro;Castelo de Paiva;Ligeiros;7414;8463;8197;8173;8266;8266;8460;8721;8973;9338;9750
Aveiro;Castelo de Paiva;Máquinas Industriais;3;12;13;16;27;25;21;19;31;27;35
Aveiro;Castelo de Paiva;Motociclos;284;298;284;260;286;299;305;377;427;488;577
Aveiro;Castelo de Paiva;Outros Veículos;78;97;88;82;134;160;181;119;124;151;55
Aveiro;Castelo de Paiva;Pesados;93;91;97;92;118;115;116;120;147;141;127
Aveiro;Castelo de Paiva;Reboque;40;42;39;44;57;64;57;77;83;95;103
Aveiro;Espinho;Agrícola;38;41;48;62;62;51;53;60;76;92;80
Aveiro;Espinho;Ciclomotor;666;711;734;731;691;671;613;592;536;528;517
Aveiro;Espinho;Ligeiros;13518;14227;14707;14811;15458;14932;15357;16115;16338;16803;17220
Aveiro;Espinho;Máquinas Industriais;3;2;1;1;6;6;6;8;24;27;23
Aveiro;Espinho;Motociclos;290;324;358;373;379;390;432;476;554;582;651
Aveiro;Espinho;Outros Veículos;258;301;258;204;220;268;256;160;133;162;55
Aveiro;Espinho;Pesados;119;152;132;134;111;106;94;122;140;133;124
Aveiro;Espinho;Reboque;47;64;60;59;70;78;69;93;91;85;84
Aveiro;Estarreja;Agrícola;1033;1194;1114;1163;1202;1225;1293;1310;1438;1442;1415
Aveiro;Estarreja;Ciclomotor;1538;1697;1584;1566;1569;1562;1539;1519;1481;1423;1427
Aveiro;Estarreja;Ligeiros;15015;16805;16526;16729;15647;15279;15582;15944;16398;17059;17470
Aveiro;Estarreja;Máquinas Industriais;8;15;20;25;45;51;52;68;105;114;94
Aveiro;Estarreja;Motociclos;539;654;586;578;615;637;676;742;834;914;925
Aveiro;Estarreja;Outros Veículos;181;231;233;189;258;321;324;199;194;257;120
Aveiro;Estarreja;Pesados;227;237;227;226;1108;1206;1266;1398;1430;1589;1734
Aveiro;Estarreja;Reboque;119;150;153;184;212;237;229;333;519;519;553
Aveiro;Ílhavo;Agrícola;203;248;249;276;291;292;302;290;353;355;354
Aveiro;Ílhavo;Ciclomotor;2170;2402;2296;2251;2220;2144;2094;2001;2069;2088;2089
Aveiro;Ílhavo;Ligeiros;19583;22004;21235;21300;21632;21633;21692;19087;24601;25266;26131
Aveiro;Ílhavo;Máquinas Industriais;30;15;30;30;32;20;33;44;79;123;134
Aveiro;Ílhavo;Motociclos;931;1086;1122;1175;1234;1289;1397;1221;1728;1901;2128
Aveiro;Ílhavo;Outros Veículos;810;901;802;295;259;269;293;196;198;244;117
Aveiro;Ílhavo;Pesados;188;219;177;131;184;194;265;312;317;278;330
Aveiro;Ílhavo;Reboque;154;178;193;180;178;200;220;241;345;357;337
Aveiro;Mealhada;Agrícola;866;943;1008;1301;1438;1487;1536;1665;1770;1747;1736
