geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-6.086425781249999 37.38761546711722, -6.086425781249999 37.38761546711722)",2020-04-14 1600,887173,Gines,887173,Gines,0,13,ES,LEVEL4,1351,1356.2,-5.2,-0.38314176245211,0,-0.30737499092383,37.386314551754,-6.0769780700626,37.386314551754,-6.0769780700626,0331103312103,0331103312103
"LINESTRING (-6.13037109375 37.317749820325346, -6.13037109375 37.317749820325346)",2020-04-14 1600,887136,Almensilla,887136,Almensilla,0,13,ES,LEVEL4,307,292.4,14.6,4.9761417859577,0,0.38344122908502,37.305944151895,-6.1081730476418,37.305944151895,-6.1081730476418,0331103312122,0331103312122
"LINESTRING (-8.63525390625 41.0627839819948, -8.59130859375 41.029641300763465)",2020-04-14 1600,728802,Arcozelo,728807,Grijó,5.2118066591649,13,PT,LEVEL5,17,23.8,-6.8,-27.41935483871,0,-1.0058907458368,41.056353348945,-8.6402325558739,41.027833928434,-8.5794571566199,0313322333213,0313322333320
"LINESTRING (-8.63525390625 41.0627839819948, -8.59130859375 41.0627839819948)",2020-04-14 1600,728802,Arcozelo,728815,Perosinho,3.684375817339,13,PT,LEVEL5,33,37.8,-4.8,-12.371134020619,0,-0.58337377646958,41.056353348945,-8.6402325558739,41.05797226748,-8.5879757513097,0313322333213,0313322333302
"LINESTRING (-6.74560546875 37.21282948520225, -6.74560546875 37.21282948520225)",2020-04-14 1600,884337,Lucena del Puerto,884337,Lucena del Puerto,0,13,ES,LEVEL4,29,30.2,-1.2,-3.8461538461538,0,-0.21836235757405,37.251388117537,-6.7369419458013,37.251388117537,-6.7369419458013,0331103302330,0331103302330
"LINESTRING (-8.63525390625 41.0627839819948, -8.59130859375 41.09590996932491)",2020-04-14 1600,728802,Arcozelo,728824,Vilar de Andorinho,5.2091814825531,13,PT,LEVEL5,35,34.6,0.4,1.123595505618,0,0.05027570118399,41.056353348945,-8.6402325558739,41.099937415939,-8.5741603299697,0313322333213,0313322333300
"LINESTRING (-8.63525390625 41.0627839819948, -8.59130859375 41.12901926009517)",2020-04-14 1600,728802,Arcozelo,728813,Oliveira do Douro,8.2343632969964,13,PT,LEVEL5,16,29.4,-13.4,-44.078947368421,0,-1.5143418247531,41.056353348945,-8.6402325558739,41.125480000231,-8.5852715180741,0313322333213,0313322333122
"LINESTRING (-8.63525390625 41.0627839819948, -8.63525390625 41.0627839819948)",2020-04-14 1600,728802,Arcozelo,728802,Arcozelo,0,13,PT,LEVEL5,1679,1527.6,151.4,9.9044877665838,0,0.52889946202286,41.056353348945,-8.6402325558739,41.056353348945,-8.6402325558739,0313322333213,0313322333213
"LINESTRING (-8.63525390625 41.0627839819948, -8.63525390625 41.09590996932491)",2020-04-14 1600,728802,Arcozelo,728823,Valadares,3.6834475127757,13,PT,LEVEL5,29,45.2,-16.2,-35.064935064935,0,-1.7010276419238,41.056353348945,-8.6402325558739,41.092493791416,-8.6383034810667,0313322333213,0313322333211
"LINESTRING (-8.63525390625 41.0627839819948, -8.63525390625 41.12901926009517)",2020-04-14 1600,728802,Arcozelo,728805,Canidelo,7.3650384498902,13,PT,LEVEL5,26,33.4,-7.4,-21.511627906977,0,-0.71438422965951,41.056353348945,-8.6402325558739,41.128124084191,-8.6530780410415,0313322333213,0313322333033
"LINESTRING (-8.63525390625 41.0627839819948, -8.63525390625 41.16211185167059)",2020-04-14 1600,728802,Arcozelo,728718,Ramalde,11.044772518344,13,PT,LEVEL5,12,11.4,0.6,4.8387096774194,0,0.13316902848554,41.056353348945,-8.6402325558739,41.171390651966,-8.6429326111044,0313322333213,0313322333031
