DISTRITO;MUNICÍPIO;CODIGO;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018p
AVEIRO;ÁGUEDA;0101;39 220;37 797;30 399;31 707;31 236;32 299;31 598;31 986;28 530;25 518;24 796;24 981;19 380;22 674;21 729;19 485;20 838;19 992
AVEIRO;ALBERGARIA-A-VELHA;0102;2 976;3 323;3 022;3 299;3 373;3 692;3 848;6 237;6 374;7 848;3 152;2 933;4 028;2 925;3 222;4 050;5 010;5 504
AVEIRO;ANADIA;0103;30 910;30 330;27 519;28 827;33 044;37 305;39 051;35 910;36 808;36 892;37 430;29 389;31 296;32 888;28 554;31 467;30 735;30 871
AVEIRO;AROUCA;0104;;;;;;;;;;;;;;;1;;3;1
AVEIRO;AVEIRO;0105;47 404;49 760;47 203;48 167;49 339;48 315;49 254;45 992;39 081;34 707;47 924;51 801;54 223;42 280;43 408;54 518;65 101;73 480
AVEIRO;CASTELO DE PAIVA;0106;;;;;;;;;;;;;;;;;;
AVEIRO;ESPINHO;0107;1 710;1 992;2 202;2 215;2 378;2 249;2 739;2 720;2 705;2 767;2 500;2 582;3 200;3 255;3 187;3 218;3 226;3 734
AVEIRO;ESTARREJA;0108;41 210;49 862;51 404;48 762;48 933;51 994;52 177;53 648;69 806;113 090;97 454;114 158;112 109;121 810;117 632;112 720;127 736;121 624
AVEIRO;FEIRA;0109;20 849;24 979;24 872;29 047;29 971;33 802;34 083;36 863;34 726;35 768;35 787;35 081;35 557;32 661;35 184;35 750;38 631;39 727
AVEIRO;ÍLHAVO;0110;21 982;21 828;21 386;20 590;20 203;20 461;22 569;21 085;22 044;30 675;24 962;21 868;26 534;21 905;24 714;26 678;27 909;28 385
AVEIRO;MEALHADA;0111;9 426;12 068;12 349;12 860;13 789;13 551;14 774;12 385;8 888;7 795;9 528;13 164;11 757;12 679;12 995;11 821;12 480;11 681
AVEIRO;MURTOSA;0112;;;;;;;;;;115;132;135;163;162;177;164;177;188
AVEIRO;OLIVEIRA DE AZEMÉIS;0113;8 742;9 294;9 983;9 374;8 249;9 222;9 488;10 533;6 589;8 931;13 159;13 554;13 655;12 405;12 844;13 730;16 409;26 806
AVEIRO;OLIVEIRA DO BAIRRO;0114;41 553;43 598;46 754;44 712;46 050;40 336;41 777;43 071;32 415;36 676;38 457;20 924;27 699;28 841;27 264;27 850;32 324;33 061
AVEIRO;OVAR;0115;4 176;4 064;7 403;8 779;8 930;9 232;9 911;9 330;9 139;8 892;8 881;10 128;10 204;10 278;10 601;10 260;10 679;10 713
AVEIRO;SÃO JOÃO DA MADEIRA;0116;2 715;3 008;3 030;2 724;2 710;2 758;3 129;3 160;3 431;3 657;2 941;3 001;4 233;3 295;3 192;4 256;4 280;4 331
AVEIRO;SEVER DO VOUGA;0117;;;;;;;;;;;;;;;;;;0
AVEIRO;VAGOS;0118;4 785;4 563;4 946;5 326;5 340;5 787;6 439;5 959;4 699;6 305;6 706;6 468;7 297;7 568;6 939;7 337;8 642;8 744
AVEIRO;VALE DE CAMBRA;0119;;19;343;1 234;1 294;2 047;3 727;3 824;3 740;4 929;6 277;7 697;8 845;9 635;8 968;8 893;9 731;9 429
BEJA;ALJUSTREL;0201;;;;;;;;;;;;;;;;;;
BEJA;ALMODÔVAR;0202;;;;;;;;;;;;;;;;;;
BEJA;ALVITO;0203;;;;;;;;;;;;;;;;;;0
BEJA;BARRANCOS;0204;;;;;;;;;;;;;;;;;;
BEJA;BEJA;0205;;;;;;;;218;530;857;1 124;1 332;1 164;2 137;1 435;1 170;1 334;1 567
BEJA;CASTRO VERDE;0206;;;;;;;;;;;;;;;;;;
BEJA;CUBA;0207;;;;;;;;;;;;;;;;;;
BEJA;FERREIRA DO ALENTEJO;0208;;;;;;;;;;;;;124;203;180;125;27;52
BEJA;MÉRTOLA;0209;;;;;;;;;;;;;;;;;;0
BEJA;MOURA;0210;;;;;;;;;;;;;;;;;;
