geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-6.086425781249999 37.38761546711722, -6.086425781249999 37.38761546711722)",2020-04-13 0000,887173,Gines,887173,Gines,0,13,ES,LEVEL4,1164,1150.4,13.6,1.1811707486538,0,0.461667269183,37.386314551754,-6.0769780700626,37.386314551754,-6.0769780700626,0331103312103,0331103312103
"LINESTRING (-6.08642578125 36.9323280378846, -6.08642578125 36.89719244699134)",2020-04-13 0000,887179,Lebrija,887179,Lebrija,3.9069055843071,13,ES,LEVEL4,18,15.6,2.4,14.457831325301,0,0.34181237513753,36.938347800433,-6.0602329817088,36.938347800433,-6.0602329817088,0331103330321,0331103330323
"LINESTRING (-6.83349609375 39.11301158922029, -6.83349609375 39.11301158922029)",2020-04-13 0000,881866,Villar del Rey,881866,Villar del Rey,0,13,ES,LEVEL4,31,32.8,-1.8,-5.3254437869822,0,-0.57794516916114,39.116952642998,-6.8268744046258,39.116952642998,-6.8268744046258,0331101320322,0331101320322
"LINESTRING (-6.83349609375 40.296284438846904, -6.83349609375 40.296284438846904)",2020-04-13 0000,886606,Navasfrías,886606,Navasfrías,0,13,ES,LEVEL4,11,14.6,-3.6,-23.076923076923,0,-1.9817347772274,40.287266224504,-6.8127838791074,40.287266224504,-6.8127838791074,0331101120300,0331101120300
"LINESTRING (-6.83349609375 40.59726855264711, -6.83349609375 40.59726855264711)",2020-04-13 0000,886528,Fuentes de Oñoro,886528,Fuentes de Oñoro,0,13,ES,LEVEL4,129,134.8,-5.8,-4.2709867452136,0,-0.51939141488907,40.575625284698,-6.7899149821201,40.575625284698,-6.7899149821201,0331101102122,0331101102122
"LINESTRING (-6.83349609375 40.630628001844556, -6.83349609375 40.630628001844556)",2020-04-13 0000,730785,Vilar Formoso,730785,Vilar Formoso,0,13,PT,LEVEL5,12,10.2,1.8,16.071428571429,0,0.57794516916114,40.616245553766,-6.8369689776211,40.616245553766,-6.8369689776211,0331101102120,0331101102120
"LINESTRING (-6.83349609375 41.09590996932491, -6.83349609375 41.09590996932491)",2020-04-13 0000,729855,Freixo de Espada à Cinta,729855,Freixo de Espada à Cinta,0,13,PT,LEVEL5,16,15.8,0.2,1.1904761904762,0,0.045060590905933,41.094083769419,-6.8240890661827,41.094083769419,-6.8240890661827,0313323322300,0313323322300
"LINESTRING (-6.833496093750001 37.14280141585178, -6.833496093750001 37.14280141585178)",2020-04-13 0000,884341,Moguer,884341,Moguer,0,13,ES,LEVEL4,257,253.8,3.2,1.2558869701727,0,0.17185930750136,37.20830674734,-6.8081159868633,37.20830674734,-6.8081159868633,0331103320100,0331103320100
"LINESTRING (-6.130371093750001 37.42252390122375, -6.130371093750001 37.42252390122375)",2020-04-13 0000,887211,Salteras,887211,Salteras,0,13,ES,LEVEL4,304,291.2,12.8,4.3805612594114,0,0.90691232202422,37.455491810468,-6.088502499739,37.455491810468,-6.088502499739,0331103312100,0331103312100
"LINESTRING (-6.833496093750001 37.28279261848151, -6.833496093750001 37.28279261848151)",2020-04-13 0000,884341,Moguer,884341,Moguer,0,13,ES,LEVEL4,1101,1094,7,0.63926940639269,0,0.2593482142316,37.20830674734,-6.8081159868633,37.20830674734,-6.8081159868633,0331103302300,0331103302300
"LINESTRING (-6.833496093750001 38.90813093681449, -6.833496093750001 38.90813093681449)",2020-04-13 0000,881726,Badajoz,881726,Badajoz,0,13,ES,LEVEL4,19,18.4,0.6,3.0927835051546,0,0.23904572186688,38.871076426555,-6.8504084003044,38.871076426555,-6.8504084003044,0331101322302,0331101322302
